Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=Value~String~Value~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~ArtFire.PrjPcb|ReportField=ProjectFullPath~F:\Document\Alcohol_Fire\V0.3\Circuit&PCB\ArtFire\ArtFire.PrjPcb|ReportField=Title~Bill of Materials For Project [ArtFire.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~100|ReportField=ReportTime~19:35:28|ReportField=ReportDate~2016-03-17|ReportField=ReportDateTime~2016-03-17 19:35:28|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2016-03-17|ReportField=CurrentTime~19:26:54|ReportField=Date~2016-03-12|ReportField=DocumentFullPathAndName~F:\Document\Alcohol_Fire\V0.3\Circuit&PCB\ArtFire\ArtFire.SchDoc|ReportField=DocumentName~ArtFire.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2016-03-17|ReportField=Organization~|ReportField=ProjectName~ArtFire.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~ArtFire|ReportField=Version~V0.3|ReportField=DataSourceFileName~ArtFire.PrjPcb|ReportField=DataSourceFullPath~F:\Document\Alcohol_Fire\V0.3\Circuit&PCB\ArtFire\ArtFire.PrjPcb
Battery|Multicell Battery|BT1|Battery_1302|Battery|1|
Cap Semi|Capacitor (Semiconductor SIM Model)|C1, C2, C3, C6, C7, C9, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C22, C23, C24, C26|6-0805_N|Cap Semi|21|0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 22pF, 22pF, 0.1uF, 0.1uF, 15pF, 15pF, 0.1uF, 0.1uF, 0.1uF, 0.1uF, 0.1uF
Cap Pol1|Polarized Capacitor (Radial)|C4, C5, C8|Cap_5*4mm|Cap Pol1|3|10uF
Cap Pol1|Polarized Capacitor (Radial)|C21|CAP_10*10MM|Cap Pol1|1|1000uF
PWR|Typical INFRARED GaAs LED|D1|6-0805_N|LED0|1|
Diode|Silicon RF Schottky Diode for Mixer Applications in the VHF/UHF Range|D2, D3, D4|US1M|Diode BAT17|3|
Buzzer|Magnetic Transducer Buzzer|LS1|BUZZER|Buzzer|1|
Pump1||P1|XH2.54-3P|XH2.54-3P|1|
Alcohol_Detect||P2|XH2.54-3P|XH2.54-3P|1|
HB-9500|High current connector|P3|HB-9500|HB-9500|1|
Alcohol_Detect_C||P4|XH2.54-3P|XH2.54-3P|1|
Pump2||P5|CH3.96_2P|CH3.96_2P|1|
XH2.54-7P||P6|XH2.54-7P|XH2.54-7P|1|
Fire_UP||P7|KF3.96_2P|KF3.96|1|
Fan||P8|XH2.54-2P|XH2.54-2P|1|
Superheterodyne_Receiver||P9|Sperheterodyne_Receiver|Superheterodyne_Receiver|1|
Pump_BAK||P10|CH3.96_2P|CH3.96_2P|1|
Debug_Port|Header, 4-Pin|P11|HDR1X4|Header 4|1|
UART_Debug_Port|Header, 4-Pin|P12|HDR1X4|Header 4|1|
Speaker||P13|XH2.54-2P|XH2.54-2P|1|
Fire_Detect||P14|CH3.96_3P|CH3.96_3P|1|
Leakage_Detect||P15|XH2.54-3P|XH2.54-3P|1|
Thermocouple||P16|CH3.96_2P|CH3.96_2P|1|
ADO484|N-Channel Power MOSFET|Q1, Q3, Q6, Q8|D2PAK_N|NMOS-2|4|
NPN|NPN Bipolar Transistor|Q2, Q4, Q5, Q7, Q9|SOT-23_N|NPN|5|
